origin,origin_name,destination_code,destination_name,country_code,currency,price,depart,booking_link
GRU,Sao Paulo,LEC,"Lencois, Brazil",BR,USD,1368,2026-07-19,https://www.aviasales.com/search/GRU1907LEC1?marker=741311
GRU,Sao Paulo,OGL,"Georgetown, Guyana",GY,USD,2256,2026-07-17,https://www.aviasales.com/search/GRU1707OGL1?marker=741311
EZE,Buenos Aires,HRG,"Hurghada, Egypt",EG,USD,1183,2026-07-25,https://www.aviasales.com/search/EZE2507HRG1?marker=741311
EZE,Buenos Aires,MOW,"Moscow, Russia",RU,USD,1189,2026-07-28,https://www.aviasales.com/search/EZE2807MOW1?marker=741311
EZE,Buenos Aires,KZN,"Kazan, Russia",RU,USD,1201,2026-07-30,https://www.aviasales.com/search/EZE3007KZN1?marker=741311
EZE,Buenos Aires,RZV,"Rize, Turkiye",TR,USD,1210,2026-07-19,https://www.aviasales.com/search/EZE1907RZV1?marker=741311
EZE,Buenos Aires,DOH,"Doha, Qatar",QA,USD,1222,2026-07-19,https://www.aviasales.com/search/EZE1907DOH1?marker=741311
EZE,Buenos Aires,ADD,"Addis Ababa, Ethiopia",ET,USD,1235,2026-07-24,https://www.aviasales.com/search/EZE2407ADD1?marker=741311
EZE,Buenos Aires,BKK,"Bangkok, Thailand",TH,USD,1259,2026-07-19,https://www.aviasales.com/search/EZE1907BKK1?marker=741311
EZE,Buenos Aires,TYO,"Tokyo, Japan",JP,USD,1261,2026-07-25,https://www.aviasales.com/search/EZE2507TYO1?marker=741311
