origin,origin_name,destination_code,destination_name,country_code,currency,price,depart,booking_link
DPS,Bali,UIO,"Quito, Ecuador",EC,USD,1388,2026-07-24,https://www.aviasales.com/search/DPS2407UIO1?marker=741311
DPS,Bali,LIM,"Lima, Peru",PE,USD,1458,2026-07-22,https://www.aviasales.com/search/DPS2207LIM1?marker=741311
DAD,Da Nang,PUJ,"Punta Cana, Dominican Republic",DO,USD,1252,2026-07-31,https://www.aviasales.com/search/DAD3107PUJ1?marker=741311
DAD,Da Nang,MVD,"Montevideo, Uruguay",UY,USD,1323,2026-07-29,https://www.aviasales.com/search/DAD2907MVD1?marker=741311
DAD,Da Nang,COR,"Cordoba, Argentina",AR,USD,1443,2026-07-26,https://www.aviasales.com/search/DAD2607COR1?marker=741311
DAD,Da Nang,ASU,"Asuncion, Paraguay",PY,USD,1448,2026-07-21,https://www.aviasales.com/search/DAD2107ASU1?marker=741311
DAD,Da Nang,FLN,"Florianopolis, Brazil",BR,USD,1631,2026-07-31,https://www.aviasales.com/search/DAD3107FLN1?marker=741311
DAD,Da Nang,ONT,"Ontario, United States",US,USD,2279,2026-07-25,https://www.aviasales.com/search/DAD2507ONT1?marker=741311
DAD,Da Nang,TRW,"Tarawa, Kiribati",KI,USD,4502,2026-07-20,https://www.aviasales.com/search/DAD2007TRW1?marker=741311
CEB,Cebu,BRC,"San Carlos de Bariloche, Argentina",AR,USD,1568,2026-07-18,https://www.aviasales.com/search/CEB1807BRC1?marker=741311
ZQN,Queenstown,ONT,"Ontario, United States",US,USD,1496,2026-07-21,https://www.aviasales.com/search/ZQN2107ONT1?marker=741311
CUN,Cancun,GVN,"Sovetskaya Gavan, Russia",RU,USD,1568,2026-07-28,https://www.aviasales.com/search/CUN2807GVN1?marker=741311
PPT,Tahiti,HKG,"Hong Kong, Hong Kong",HK,USD,1237,2026-07-22,https://www.aviasales.com/search/PPT2207HKG1?marker=741311
CTG,Cartagena,VVO,"Vladivostok, Russia",RU,USD,1247,2026-07-22,https://www.aviasales.com/search/CTG2207VVO1?marker=741311
UIO,Quito,KZN,"Kazan, Russia",RU,USD,1300,2026-07-18,https://www.aviasales.com/search/UIO1807KZN1?marker=741311
UIO,Quito,OVB,"Novosibirsk, Russia",RU,USD,2077,2026-07-17,https://www.aviasales.com/search/UIO1707OVB1?marker=741311
UIO,Quito,LED,"Saint Petersburg, Russia",RU,USD,2322,2026-07-17,https://www.aviasales.com/search/UIO1707LED1?marker=741311
