date,code,name,origin,price,benchmark,savings_pct,airline,depart,return,booking_link,confirmed
2026-08-14,SPC,"Sta Cruz de la Palma, Spain",LAX,799,1447,45,AT,2026-11-20,2026-11-25,https://www.aviasales.com/search/LAX2011SPC25111?t=AT17951664001795293900001645LAXCMNMADLPASPC17956260001795764000002780SPCTFNMADCMNLAX_5b54852253f04cbe1f196ab6a6caacd1_65922&search_date=10082026&expected_price_uuid=019fedec-ee16-8040-a8bd-b2e26364f68a&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=TR9r2B3w2OBvFpsarI7-Yw&expected_price_source=share&expected_price_currency=usd&expected_price=799&marker=741311,
2026-08-14,ROB,"Monrovia, Liberia",JFK,2126,1022,-108,B6,2027-03-17,2027-03-31,"https://www.aviasales.com/search/JFK1703ROB31031?t=KQ18053216401805423100001451JFKLHRLGWCMNROB18065190001806651300002445ROBNBOJFK_897961b435873f40e087bea48ceb354f_176621&search_date=14082026&expected_price_uuid=019ffe6e-fdd5-8040-ab90-dd24be64425b&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=C2X4XIaktUd3qUtMl3BS0w&origin_airports=0,1&destination_airports=0,1&expected_price_source=share&expected_price_currency=usd&expected_price=2126&marker=741311",
2026-08-14,TFU,"Tianfu, China",IAD,833,1467,43,TK,2027-02-12,2027-02-15,"https://www.aviasales.com/search/IAD1202TFU15021?t=TK18024672001802619600001760IADISTTFU18026523001802691900001440TFUISTIAD_47061008b7782bbc47bcbc4644ee01ca_67944&search_date=09082026&expected_price_uuid=019fe5f4-1070-8040-a6da-3d702735678b&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=kkbsUUa-ssQG52A6_qu_kQ&origin_airports=0,1&destination_airports=0,1&expected_price_source=share&expected_price_currency=usd&expected_price=833&marker=741311",
2026-08-14,ABJ,"Abidjan, Côte d'Ivoire",JFK,639,1093,42,AT,2026-10-24,2026-12-01,https://www.aviasales.com/search/JFK2410ABJ01121?t=AT17928390001792903800000840JFKCMNABJ17961558001796234100001605ABJDSSCMNJFK_326c6402f892dd52aa71714ad7862ab2_52733&search_date=10082026&expected_price_uuid=019fecbd-db65-8040-ae87-b6f3757ee5ab&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=tDISGjkDuZwIo4IW-SZgNA&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=639&marker=741311,
2026-08-14,CUE,"Cuenca, Ecuador",JFK,627,539,-16,AV,2026-10-29,2026-11-08,https://www.aviasales.com/search/JFK2910CUE08111?t=AV17932365001793272200000655JFKUIOCUE17941359001794181200000755CUEUIOJFK_8e4708d2682dbe652612b9b6b6bf0625_51590&search_date=08082026&expected_price_uuid=019fe238-063a-8040-2ed7-56e61a481721&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=BXmQHbFhufd1ICLEawDiQQ&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=627&marker=741311,
2026-08-14,CUZ,"Cusco, Peru",MIA,508,857,41,H2,2027-05-21,2027-06-05,https://www.aviasales.com/search/MIA2105CUZ05061?t=H218108966001811004600001860MIALIMCUZ18122301001812269400000595CUZLIMMIA_ed0ee925d382a58b1e0e3dcb86018ffc_41863&search_date=12082026&expected_price_uuid=019ff3bb-3ff0-8040-6be9-2bb4510d80ea&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=c0nPIDUGh89Wt3zBvYnmpg&expected_price_source=share&expected_price_currency=usd&expected_price=508&marker=741311,
2026-08-14,VLC,"Valencia, Spain",MIA,380,643,41,TP,2026-10-21,2026-11-07,https://www.aviasales.com/search/MIA2110VLC07111?t=TP17925996001792686900001095MIALISVLC17940753001794149400001595VLCLISMIA_c27f1afab92b460cbd7520b0a5db8857_31973&search_date=14082026&expected_price_uuid=01a0000a-98a0-8040-29fe-0fe71ac5d750&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=eHq_OBEUrv38i6GQ6a2Gbg&expected_price_source=share&expected_price_currency=usd&expected_price=380&marker=741311,
2026-08-14,IPN,"Ipatinga, Brazil",BOS,762,1162,34,CM,2026-12-08,2027-02-03,https://www.aviasales.com/search/BOS0812IPN03021?t=CM17967409801796817600001157BOSPTYCNFIPN18016860001801747200001140IPNCNFPTYBOS_8816918a9b63bab9da647cdfaf3af65c_63297&search_date=13082026&expected_price_uuid=019ffce0-78fa-8040-a113-9fda0efd291c&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=r0DGhVf5UrFV7zyZrVJO0A&expected_price_source=share&expected_price_currency=usd&expected_price=762&marker=741311,
2026-08-14,TPE,"Taipei, Taiwan",SFO,389,635,39,UA,2026-08-31,2026-09-12,https://www.aviasales.com/search/SFO3108TPE12091?t=UA17881719001788342900001950SFOHNLGUMTPE17892066001789194900000705TPESFO_ce5803c2cf0bb40d41b8e29d898e8bb3_32084&search_date=10082026&expected_price_uuid=019fedbb-bdf6-8040-2ac4-b13851975a1b&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=reF7M_oOmjLqFwgeLO0ajQ&expected_price_source=share&expected_price_currency=usd&expected_price=389&marker=741311,
2026-08-14,MGQ,"Mogadishu, Somalia",MSP,1061,1767,40,TK,2026-08-25,2026-09-25,https://www.aviasales.com/search/MSP2508MGQ25091?t=TK17876448001787820000002440MSPORDISTMGQ17903295001790432580002198MGQISTORDMSP_e36ad73cf959dcff4133dd1a71fa1940_87247&search_date=07082026&expected_price_uuid=019fdeaa-a5a9-8040-250e-fb0235aa1a72&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=dhYXt5gfZhqqk70RJ2WNBQ&expected_price_source=share&expected_price_currency=usd&expected_price=1061&marker=741311,
2026-08-14,BIA,"Bastia/Poretta, France",BWI,1283,1611,20,FI,2026-11-04,2026-11-16,https://www.aviasales.com/search/BWI0411BIA16111?t=FI17938212001793963400002010BWIKEFCDGORYBIA17948532001794940200001810BIAORYCDGKEFIAD_ab80ba305170bf11b681276aaaf36848_107825&search_date=13082026&expected_price_uuid=019ffb6b-2ed7-8050-a9eb-61d0fa6e6e5b&static_fare_key=TY%7CP1%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=j1GE5iZccxtEFQ0B4F1BEQ&expected_price_source=share&expected_price_currency=usd&expected_price=1283&marker=741311,
2026-08-14,AUH,"Abu Dhabi, UAE",DFW,520,837,38,AA,2026-09-01,2026-09-22,https://www.aviasales.com/search/DFW0109AUH22091?t=EY17882789401788376800001091DFWATLAUH17900457001790083800001175AUHORDDFW_93e12093583ff189aa8148245a4b1ff9_43743&search_date=14082026&expected_price_uuid=01a0004e-1d88-8040-650c-7b13f11a3517&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=re47JHwjJH1AEq8Q7lfFcA&expected_price_source=share&expected_price_currency=usd&expected_price=520&marker=741311,
2026-08-14,AUA,Aruba,BOS,209,330,37,B6,2026-08-29,2026-09-05,https://www.aviasales.com/search/BOS2908AUA05091?t=B617879836801788001200000292BOSAUA17886312001788648840000294AUABOS_d36635630a187fb58bd84f10d92e1ba1_17218&search_date=10082026&expected_price_uuid=019fedf0-754b-8040-28f0-e009b666d799&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=JJlY7z5Te36Gj0UT4_YkyQ&expected_price_source=share&expected_price_currency=usd&expected_price=209&marker=741311,
2026-08-14,DOM,"Marigot, Dominica",JFK,807,713,-13,AA,2026-11-19,2026-12-03,https://www.aviasales.com/search/JFK1911DOM03121?t=AA17951000401795185960001372JFKCLTMIADOM17963109601796382000001244DOMMIAORDJFK_8094304f8fb44ef18c9c14e8bf347694_66377&search_date=08082026&expected_price_uuid=019fe1c8-66f5-8040-63f0-54a180aa1892&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=aopyjWAw49YK-ZP47Cq5Fg&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=807&marker=741311,
2026-08-14,CNF,"Belo Horizonte, Brazil",MIA,351,561,37,CM,2026-08-23,2026-09-28,https://www.aviasales.com/search/MIA2308BHZ28091?t=CM17874938401787616600001986MIAPTYCNF17905842001790625180000743CNFPTYMIA_a637acc639e040776c30cc4af4e50b98_29161&search_date=13082026&expected_price_uuid=019ffc83-41f3-8040-653a-d93ab142922c&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=U9Hj4_AK33y0alCbSLS0kA&expected_price_source=share&expected_price_currency=usd&expected_price=351&marker=741311,
2026-08-14,STT,"St. Thomas, USVI",STL,217,338,36,AA,2027-01-17,2027-01-21,https://www.aviasales.com/search/STL1701STT21011?t=AA18001620001800196800000460STLORDSTT18005567401800610800001021STTMIACLTSTL_37f5ed241199e38c0f8fe34d8c5ebe41_18030&search_date=13082026&expected_price_uuid=019ffcbc-0ce3-8040-a476-fd75ba72ce38&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=MOyHOiJUSwVBYqKuQgSwYg&expected_price_source=share&expected_price_currency=usd&expected_price=217&marker=741311,
2026-08-14,BKK,"Bangkok, Thailand",SFO,357,552,35,MU,2026-08-31,2026-09-14,https://www.aviasales.com/search/SFO3108BKK14091?t=MU17881776001788309600001360SFOPVGBKK17893623001789376700001080BKKPVGSFO_f2320c7776a86b5f1c290cd9b6b34f3a_29673&search_date=13082026&expected_price_uuid=019ffc51-ca39-8040-af71-194b8c1132fd&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH1%7CR0%7CTBC0&itinerary_key=fvxEa2qJeg-cF1Y72nbh1g&expected_price_source=share&expected_price_currency=usd&expected_price=357&marker=741311,
